26,10000025,10000424,10000823,10001222,10001621,10002020,10002419,10002818,10003217,10003616,10004015,10004414,10004813,10005212,10005611,10006010,10006409,10006808,10007207,10007606,10008005,10008404,10008803,10009202,10009601,10010000,-1,-1,-1,-1,-1,-1
27,10000026,10000425,10000824,10001223,10001622,10002021,10002420,10002819,10003218,10003617,10004016,10004415,10004814,10005213,10005612,10006011,10006410,10006809,10007208,10007607,10008006,10008405,10008804,10009203,10009602,10010001,10010400,-1,-1,-1,-1,-1
28,10000027,10000426,10000825,10001224,10001623,10002022,10002421,10002820,10003219,10003618,10004017,10004416,10004815,10005214,10005613,10006012,10006411,10006810,10007209,10007608,10008007,10008406,10008805,10009204,10009603,10010002,10010401,10010800,-1,-1,-1,-1
29,10000028,10000427,10000826,10001225,10001624,10002023,10002422,10002821,10003220,10003619,10004018,10004417,10004816,10005215,10005614,10006013,10006412,10006811,10007210,10007609,10008008,10008407,10008806,10009205,10009604,10010003,10010402,10010801,10011200,-1,-1,-1
30,10000029,10000428,10000827,10001226,10001625,10002024,10002423,10002822,10003221,10003620,10004019,10004418,10004817,10005216,10005615,10006014,10006413,10006812,10007211,10007610,10008009,10008408,10008807,10009206,10009605,10010004,10010403,10010802,10011201,10011600,-1,-1
31,10000030,10000429,10000828,10001227,10001626,10002025,10002424,10002823,10003222,10003621,10004020,10004419,10004818,10005217,10005616,10006015,10006414,10006813,10007212,10007611,10008010,10008409,10008808,10009207,10009606,10010005,10010404,10010803,10011202,10011601,10012000,-1
32,10000031,10000430,10000829,10001228,10001627,10002026,10002425,10002824,10003223,10003622,10004021,10004420,10004819,10005218,10005617,10006016,10006415,10006814,10007213,10007612,10008011,10008410,10008809,10009208,10009607,10010006,10010405,10010804,10011203,10011602,10012001,10012400
33,10000032,10000431,10000830,10001229,10001628,10002027,10002426,10002825,10003224,10003623,10004022,10004421,10004820,10005219,10005618,10006017,10006416,10006815,10007214,10007613,10008012,10008411,10008810,10009209,10009608,10010007,10010406,10010805,10011204,10011603,10012002,10012401
34,10000033,10000432,10000831,10001230,10001629,10002028,10002427,10002826,10003225,10003624,10004023,10004422,10004821,10005220,10005619,10006018,10006417,10006816,10007215,10007614,10008013,10008412,10008811,10009210,10009609,10010008,10010407,10010806,10011205,10011604,10012003,10012402
35,10000034,10000433,10000832,10001231,10001630,10002029,10002428,10002827,10003226,10003625,10004024,10004423,10004822,10005221,10005620,10006019,10006418,10006817,10007216,10007615,10008014,10008413,10008812,10009211,10009610,10010009,10010408,10010807,10011206,10011605,10012004,10012403
36,10000035,10000434,10000833,10001232,10001631,10002030,10002429,10002828,10003227,10003626,10004025,10004424,10004823,10005222,10005621,10006020,10006419,10006818,10007217,10007616,10008015,10008414,10008813,10009212,10009611,10010010,10010409,10010808,10011207,10011606,10012005,10012404
37,10000036,10000435,10000834,10001233,10001632,10002031,10002430,10002829,10003228,10003627,10004026,10004425,10004824,10005223,10005622,10006021,10006420,10006819,10007218,10007617,10008016,10008415,10008814,10009213,10009612,10010011,10010410,10010809,10011208,10011607,10012006,10012405
38,10000037,10000436,10000835,10001234,10001633,10002032,10002431,10002830,10003229,10003628,10004027,10004426,10004825,10005224,10005623,10006022,10006421,10006820,10007219,10007618,10008017,10008416,10008815,10009214,10009613,10010012,10010411,10010810,10011209,10011608,10012007,10012406
39,10000038,10000437,10000836,10001235,10001634,10002033,10002432,10002831,10003230,10003629,10004028,10004427,10004826,10005225,10005624,10006023,10006422,10006821,10007220,10007619,10008018,10008417,10008816,10009215,10009614,10010013,10010412,10010811,10011210,10011609,10012008,10012407
40,10000039,10000438,10000837,10001236,10001635,10002034,10002433,10002832,10003231,10003630,10004029,10004428,10004827,10005226,10005625,10006024,10006423,10006822,10007221,10007620,10008019,10008418,10008817,10009216,10009615,10010014,10010413,10010812,10011211,10011610,10012009,10012408
41,10000040,10000439,10000838,10001237,10001636,10002035,10002434,10002833,10003232,10003631,10004030,10004429,10004828,10005227,10005626,10006025,10006424,10006823,10007222,10007621,10008020,10008419,10008818,10009217,10009616,10010015,10010414,10010813,10011212,10011611,10012010,10012409
42,10000041,10000440,10000839,10001238,10001637,10002036,10002435,10002834,10003233,10003632,10004031,10004430,10004829,10005228,10005627,10006026,10006425,10006824,10007223,10007622,10008021,10008420,10008819,10009218,10009617,10010016,10010415,10010814,10011213,10011612,10012011,10012410
43,10000042,10000441,10000840,10001239,10001638,10002037,10002436,10002835,10003234,10003633,10004032,10004431,10004830,10005229,10005628,10006027,10006426,10006825,10007224,10007623,10008022,10008421,10008820,10009219,10009618,10010017,10010416,10010815,10011214,10011613,10012012,10012411
44,10000043,10000442,10000841,10001240,10001639,10002038,10002437,10002836,10003235,10003634,10004033,10004432,10004831,10005230,10005629,10006028,10006427,10006826,10007225,10007624,10008023,10008422,10008821,10009220,10009619,10010018,10010417,10010816,10011215,10011614,10012013,10012412
45,10000044,10000443,10000842,10001241,10001640,10002039,10002438,10002837,10003236,10003635,10004034,10004433,10004832,10005231,10005630,10006029,10006428,10006827,10007226,10007625,10008024,10008423,10008822,10009221,10009620,10010019,10010418,10010817,10011216,10011615,10012014,10012413
46,10000045,10000444,10000843,10001242,10001641,10002040,10002439,10002838,10003237,10003636,10004035,10004434,10004833,10005232,10005631,10006030,10006429,10006828,10007227,10007626,10008025,10008424,10008823,10009222,10009621,10010020,10010419,10010818,10011217,10011616,10012015,10012414
47,10000046,10000445,10000844,10001243,10001642,10002041,10002440,10002839,10003238,10003637,10004036,10004435,10004834,10005233,10005632,10006031,10006430,10006829,10007228,10007627,10008026,10008425,10008824,10009223,10009622,10010021,10010420,10010819,10011218,10011617,10012016,10012415
48,10000047,10000446,10000845,10001244,10001643,10002042,10002441,10002840,10003239,10003638,10004037,10004436,10004835,10005234,10005633,10006032,10006431,10006830,10007229,10007628,10008027,10008426,10008825,10009224,10009623,10010022,10010421,10010820,10011219,10011618,10012017,10012416
49,10000048,10000447,10000846,10001245,10001644,10002043,10002442,10002841,10003240,10003639,10004038,10004437,10004836,10005235,10005634,10006033,10006432,10006831,10007230,10007629,10008028,10008427,10008826,10009225,10009624,10010023,10010422,10010821,10011220,10011619,10012018,10012417
50,10000049,10000448,10000847,10001246,10001645,10002044,10002443,10002842,10003241,10003640,10004039,10004438,10004837,10005236,10005635,10006034,10006433,10006832,10007231,10007630,10008029,10008428,10008827,10009226,10009625,10010024,10010423,10010822,10011221,10011620,10012019,10012418
51,10000050,10000449,10000848,10001247,10001646,10002045,10002444,10002843,10003242,10003641,10004040,10004439,10004838,10005237,10005636,10006035,10006434,10006833,10007232,10007631,10008030,10008429,10008828,10009227,10009626,10010025,10010424,10010823,10011222,10011621,10012020,10012419
52,10000051,10000450,10000849,10001248,10001647,10002046,10002445,10002844,10003243,10003642,10004041,10004440,10004839,10005238,10005637,10006036,10006435,10006834,10007233,10007632,10008031,10008430,10008829,10009228,10009627,10010026,10010425,10010824,10011223,10011622,10012021,10012420
53,10000052,10000451,10000850,10001249,10001648,10002047,10002446,10002845,10003244,10003643,10004042,10004441,10004840,10005239,10005638,10006037,10006436,10006835,10007234,10007633,10008032,10008431,10008830,10009229,10009628,10010027,10010426,10010825,10011224,10011623,10012022,10012421
54,10000053,10000452,10000851,10001250,10001649,10002048,10002447,10002846,10003245,10003644,10004043,10004442,10004841,10005240,10005639,10006038,10006437,10006836,10007235,10007634,10008033,10008432,10008831,10009230,10009629,10010028,10010427,10010826,10011225,10011624,10012023,10012422
55,10000054,10000453,10000852,10001251,10001650,10002049,10002448,10002847,10003246,10003645,10004044,10004443,10004842,10005241,10005640,10006039,10006438,10006837,10007236,10007635,10008034,10008433,10008832,10009231,10009630,10010029,10010428,10010827,10011226,10011625,10012024,10012423
56,10000055,10000454,10000853,10001252,10001651,10002050,10002449,10002848,10003247,10003646,10004045,10004444,10004843,10005242,10005641,10006040,10006439,10006838,10007237,10007636,10008035,10008434,10008833,10009232,10009631,10010030,10010429,10010828,10011227,10011626,10012025,10012424
57,10000056,10000455,10000854,10001253,10001652,10002051,10002450,10002849,10003248,10003647,10004046,10004445,10004844,10005243,10005642,10006041,10006440,10006839,10007238,10007637,10008036,10008435,10008834,10009233,10009632,10010031,10010430,10010829,10011228,10011627,10012026,10012425
58,10000057,10000456,10000855,10001254,10001653,10002052,10002451,10002850,10003249,10003648,10004047,10004446,10004845,10005244,10005643,10006042,10006441,10006840,10007239,10007638,10008037,10008436,10008835,10009234,10009633,10010032,10010431,10010830,10011229,10011628,10012027,10012426
59,10000058,10000457,10000856,10001255,10001654,10002053,10002452,10002851,10003250,10003649,10004048,10004447,10004846,10005245,10005644,10006043,10006442,10006841,10007240,10007639,10008038,10008437,10008836,10009235,10009634,10010033,10010432,10010831,10011230,10011629,10012028,10012427
60,10000059,10000458,10000857,10001256,10001655,10002054,10002453,10002852,10003251,10003650,10004049,10004448,10004847,10005246,10005645,10006044,10006443,10006842,10007241,10007640,10008039,10008438,10008837,10009236,10009635,10010034,10010433,10010832,10011231,10011630,10012029,10012428
61,10000060,10000459,10000858,10001257,10001656,10002055,10002454,10002853,10003252,10003651,10004050,10004449,10004848,10005247,10005646,10006045,10006444,10006843,10007242,10007641,10008040,10008439,10008838,10009237,10009636,10010035,10010434,10010833,10011232,10011631,10012030,10012429
62,10000061,10000460,10000859,10001258,10001657,10002056,10002455,10002854,10003253,10003652,10004051,10004450,10004849,10005248,10005647,10006046,10006445,10006844,10007243,10007642,10008041,10008440,10008839,10009238,10009637,10010036,10010435,10010834,10011233,10011632,10012031,10012430
63,10000062,10000461,10000860,10001259,10001658,10002057,10002456,10002855,10003254,10003653,10004052,10004451,10004850,10005249,10005648,10006047,10006446,10006845,10007244,10007643,10008042,10008441,10008840,10009239,10009638,10010037,10010436,10010835,10011234,10011633,10012032,10012431
64,10000063,10000462,10000861,10001260,10001659,10002058,10002457,10002856,10003255,10003654,10004053,10004452,10004851,10005250,10005649,10006048,10006447,10006846,10007245,10007644,10008043,10008442,10008841,10009240,10009639,10010038,10010437,10010836,10011235,10011634,10012033,10012432
65,10000064,10000463,10000862,10001261,10001660,10002059,10002458,10002857,10003256,10003655,10004054,10004453,10004852,10005251,10005650,10006049,10006448,10006847,10007246,10007645,10008044,10008443,10008842,10009241,10009640,10010039,10010438,10010837,10011236,10011635,10012034,10012433
66,10000065,10000464,10000863,10001262,10001661,10002060,10002459,10002858,10003257,10003656,10004055,10004454,10004853,10005252,10005651,10006050,10006449,10006848,10007247,10007646,10008045,10008444,10008843,10009242,10009641,10010040,10010439,10010838,10011237,10011636,10012035,10012434
67,10000066,10000465,10000864,10001263,10001662,10002061,10002460,10002859,10003258,10003657,10004056,10004455,10004854,10005253,10005652,10006051,10006450,10006849,10007248,10007647,10008046,10008445,10008844,10009243,10009642,10010041,10010440,10010839,10011238,10011637,10012036,10012435
68,10000067,10000466,10000865,10001264,10001663,10002062,10002461,10002860,10003259,10003658,10004057,10004456,10004855,10005254,10005653,10006052,10006451,10006850,10007249,10007648,10008047,10008446,10008845,10009244,10009643,10010042,10010441,10010840,10011239,10011638,10012037,10012436
69,10000068,10000467,10000866,10001265,10001664,10002063,10002462,10002861,10003260,10003659,10004058,10004457,10004856,10005255,10005654,10006053,10006452,10006851,10007250,10007649,10008048,10008447,10008846,10009245,10009644,10010043,10010442,10010841,10011240,10011639,10012038,10012437
70,10000069,10000468,10000867,10001266,10001665,10002064,10002463,10002862,10003261,10003660,10004059,10004458,10004857,10005256,10005655,10006054,10006453,10006852,10007251,10007650,10008049,10008448,10008847,10009246,10009645,10010044,10010443,10010842,10011241,10011640,10012039,10012438
71,10000070,10000469,10000868,10001267,10001666,10002065,10002464,10002863,10003262,10003661,10004060,10004459,10004858,10005257,10005656,10006055,10006454,10006853,10007252,10007651,10008050,10008449,10008848,10009247,10009646,10010045,10010444,10010843,10011242,10011641,10012040,10012439
72,10000071,10000470,10000869,10001268,10001667,10002066,10002465,10002864,10003263,10003662,10004061,10004460,10004859,10005258,10005657,10006056,10006455,10006854,10007253,10007652,10008051,10008450,10008849,10009248,10009647,10010046,10010445,10010844,10011243,10011642,10012041,10012440
73,10000072,10000471,10000870,10001269,10001668,10002067,10002466,10002865,10003264,10003663,10004062,10004461,10004860,10005259,10005658,10006057,10006456,10006855,10007254,10007653,10008052,10008451,10008850,10009249,10009648,10010047,10010446,10010845,10011244,10011643,10012042,10012441
74,10000073,10000472,10000871,10001270,10001669,10002068,10002467,10002866,10003265,10003664,10004063,10004462,10004861,10005260,10005659,10006058,10006457,10006856,10007255,10007654,10008053,10008452,10008851,10009250,10009649,10010048,10010447,10010846,10011245,10011644,10012043,10012442
75,10000074,10000473,10000872,10001271,10001670,10002069,10002468,10002867,10003266,10003665,10004064,10004463,10004862,10005261,10005660,10006059,10006458,10006857,10007256,10007655,10008054,10008453,10008852,10009251,10009650,10010049,10010448,10010847,10011246,10011645,10012044,10012443
76,10000075,10000474,10000873,10001272,10001671,10002070,10002469,10002868,10003267,10003666,10004065,10004464,10004863,10005262,10005661,10006060,10006459,10006858,10007257,10007656,10008055,10008454,10008853,10009252,10009651,10010050,10010449,10010848,10011247,10011646,10012045,10012444
77,10000076,10000475,10000874,10001273,10001672,10002071,10002470,10002869,10003268,10003667,10004066,10004465,10004864,10005263,10005662,10006061,10006460,10006859,10007258,10007657,10008056,10008455,10008854,10009253,10009652,10010051,10010450,10010849,10011248,10011647,10012046,10012445
78,10000077,10000476,10000875,10001274,10001673,10002072,10002471,10002870,10003269,10003668,10004067,10004466,10004865,10005264,10005663,10006062,10006461,10006860,10007259,10007658,10008057,10008456,10008855,10009254,10009653,10010052,10010451,10010850,10011249,10011648,10012047,10012446
79,10000078,10000477,10000876,10001275,10001674,10002073,10002472,10002871,10003270,10003669,10004068,10004467,10004866,10005265,10005664,10006063,10006462,10006861,10007260,10007659,10008058,10008457,10008856,10009255,10009654,10010053,10010452,10010851,10011250,10011649,10012048,10012447
80,10000079,10000478,10000877,10001276,10001675,10002074,10002473,10002872,10003271,10003670,10004069,10004468,10004867,10005266,10005665,10006064,10006463,10006862,10007261,10007660,10008059,10008458,10008857,10009256,10009655,10010054,10010453,10010852,10011251,10011650,10012049,10012448
81,10000080,10000479,10000878,10001277,10001676,10002075,10002474,10002873,10003272,10003671,10004070,10004469,10004868,10005267,10005666,10006065,10006464,10006863,10007262,10007661,10008060,10008459,10008858,10009257,10009656,10010055,10010454,10010853,10011252,10011651,10012050,10012449
82,10000081,10000480,10000879,10001278,10001677,10002076,10002475,10002874,10003273,10003672,10004071,10004470,10004869,10005268,10005667,10006066,10006465,10006864,10007263,10007662,10008061,10008460,10008859,10009258,10009657,10010056,10010455,10010854,10011253,10011652,10012051,10012450
83,10000082,10000481,10000880,10001279,10001678,10002077,10002476,10002875,10003274,10003673,10004072,10004471,10004870,10005269,10005668,10006067,10006466,10006865,10007264,10007663,10008062,10008461,10008860,10009259,10009658,10010057,10010456,10010855,10011254,10011653,10012052,10012451
84,10000083,10000482,10000881,10001280,10001679,10002078,10002477,10002876,10003275,10003674,10004073,10004472,10004871,10005270,10005669,10006068,10006467,10006866,10007265,10007664,10008063,10008462,10008861,10009260,10009659,10010058,10010457,10010856,10011255,10011654,10012053,10012452
85,10000084,10000483,10000882,10001281,10001680,10002079,10002478,10002877,10003276,10003675,10004074,10004473,10004872,10005271,10005670,10006069,10006468,10006867,10007266,10007665,10008064,10008463,10008862,10009261,10009660,10010059,10010458,10010857,10011256,10011655,10012054,10012453
86,10000085,10000484,10000883,10001282,10001681,10002080,10002479,10002878,10003277,10003676,10004075,10004474,10004873,10005272,10005671,10006070,10006469,10006868,10007267,10007666,10008065,10008464,10008863,10009262,10009661,10010060,10010459,10010858,10011257,10011656,10012055,10012454
87,10000086,10000485,10000884,10001283,10001682,10002081,10002480,10002879,10003278,10003677,10004076,10004475,10004874,10005273,10005672,10006071,10006470,10006869,10007268,10007667,10008066,10008465,10008864,10009263,10009662,10010061,10010460,10010859,10011258,10011657,10012056,10012455
